money,ways,nodes
# Denominations: 5, 11, 23, 113, 251

472,218,57679
473,220,58125
474,222,58577
475,223,59037
476,225,59501
477,227,59967
478,227,60445
479,230,60913
480,229,61393
481,231,61863
482,233,62341
483,233,62819
484,236,63299
485,237,63783
486,239,64273
487,241,64767
488,242,65265
489,243,65767
490,245,66267
491,245,66773
492,247,67275
493,248,67781
494,249,68289
495,251,68799
496,253,69313
497,255,69835
498,257,70361
499,258,70895
500,260,71429
501,261,71971
502,264,72509
503,263,73065
504,266,73603
505,266,74155
506,268,74699
507,272,75251
508,271,75811
509,275,76369
510,275,76937
511,277,77505
512,280,78077
513,280,78653
514,281,79231
515,283,79805
516,283,80387
517,287,80965
518,288,81553
519,289,82145
520,292,82739
521,293,83341
522,296,83949
523,298,84559
524,298,85179
525,301,85793
526,301,86419
527,304,87037
528,305,87665
529,307,88289
530,309,88923
531,310,89557
532,314,90195
533,314,90843
534,317,91489
535,318,92143
536,319,92797
537,322,93453
538,322,94113
539,324,94773
540,327,95435
541,327,96107
542,331,96777
543,332,97457
544,334,98141
545,337,98831
546,338,99525
547,340,100227
548,343,100925
549,342,101639
550,346,102339
551,347,103053
552,349,103765
553,352,104483
554,352,105205
555,356,105929
556,357,106661
557,360,107395
558,361,108137
559,363,108877
560,364,109625
561,366,110369
562,369,111119
563,370,111875
564,372,112633
565,375,113395
566,376,114171
567,380,114943
568,381,115727
569,383,116511
570,386,117303
571,387,118097
572,389,118899
573,392,119695
574,392,120505
575,396,121307
576,398,122121
577,399,122939
578,403,123757
579,403,124585
580,407,125413
581,409,126249
582,410,127089
583,412,127931
584,414,128773
585,416,129623
586,419,130473
587,421,131331
588,423,132195
589,425,133065
590,429,133937
591,430,134827
592,434,135709
593,434,136607
594,437,137497
595,440,138401
596,441,139303
597,444,140211
598,446,141119
599,448,142037
600,451,142955
601,454,143879
602,455,144813
603,459,145745
604,459,146689
605,463,147629
606,465,148579
607,466,149531
608,469,150485
609,471,151443
610,474,152409
611,477,153379
612,479,154359
613,482,155343
614,484,156337
615,488,157331
616,489,158343
617,493,159345
618,493,160365
619,496,161373
620,500,162393
621,501,163417
622,505,164445
623,506,165479
624,509,166517
625,513,167561
626,515,168613
627,517,169671
628,520,170729
629,520,171797
630,525,172859
631,527,173933
632,529,175011
633,532,176093
634,534,177181
635,538,178279
636,542,179381
637,543,180499
638,547,181613
639,548,182743
640,552,183867
641,554,185005
642,557,186137
643,559,187283
644,561,188425
645,566,189575
646,567,190735
647,572,191895
648,573,193069
649,576,194243
650,580,195425
651,581,196613
652,584,197803
653,587,198995
654,588,200197
655,593,201397
656,595,202609
657,598,203827
658,602,205053
659,604,206287
660,608,207531
661,612,208777
662,612,210041
663,617,211293
664,618,212563
665,622,213827
666,625,215103
667,627,216379
668,631,217665
669,633,218955
670,638,220251
671,640,221559
672,644,222869
673,645,224191
674,648,225509
675,652,226835
676,654,228167
677,657,229503
678,661,230843
679,662,232201
680,668,233553
681,670,234923
682,674,236295
683,678,237681
684,679,239071
685,683,240469
686,687,241865
687,688,243279
688,693,244683
689,695,246103
690,698,247525
691,703,248953
692,704,250391
693,710,251831
694,712,253285
695,715,254743
696,718,256207
697,721,257673
698,724,259149
699,727,260625
700,731,262109
701,734,263603
702,737,265105
703,742,266611
704,744,268137
705,750,269659
706,751,271201
707,755,272737
708,759,274289
709,761,275841
710,765,277403
711,769,278963
712,771,280541
713,776,282115
714,779,283703
715,782,285297
716,788,286895
717,788,288509
718,794,290119
719,796,291743
720,799,293369
721,803,295001
722,806,296637
723,810,298285
724,814,299937
725,817,301603
726,822,303273
727,825,304959
728,830,306647
729,832,308355
730,837,310055
731,839,311775
732,843,313487
733,848,315215
734,850,316947
735,855,318687
736,858,320433
737,862,322189
738,867,323951
739,870,325723
740,873,327503
741,878,329285
742,879,331081
743,885,332873
744,888,334679
745,891,336491
746,896,338309
747,899,340137
748,904,341977
749,909,343823
750,911,345687
751,917,347549
752,919,349431
753,925,351309
754,927,353213
755,932,355103
756,935,357015
757,939,358921
758,945,360843
759,947,362773
760,953,364709
761,955,366657
762,960,368607
763,965,370569
764,968,372539
765,971,374517
766,976,376495
767,978,378489
768,985,380481
769,988,382491
770,992,384507
771,997,386535
772,1000,388571
773,1006,390619
774,1011,392673
775,1013,394747
776,1019,396815
777,1021,398905
778,1027,400989
779,1031,403091
780,1035,405193
781,1040,407311
782,1043,409433
783,1049,411565
784,1052,413707
785,1058,415853
786,1061,418015
787,1065,420179
788,1070,422353
789,1073,424535
790,1078,426723
791,1084,428919
792,1086,431137
793,1093,433351
794,1095,435585
795,1101,437819
796,1107,440071
797,1110,442331
798,1115,444605
799,1120,446879
800,1122,449177
801,1130,451463
802,1133,453775
803,1138,456087
804,1143,458413
805,1145,460745
806,1153,463083
807,1156,465435
808,1162,467793
809,1165,470165
810,1170,472539
811,1174,474929
812,1179,477319
813,1185,479723
814,1189,482139
815,1193,484567
816,1199,486999
817,1202,489453
818,1210,491903
819,1213,494377
820,1218,496851
821,1224,499343
822,1227,501841
823,1233,504353
824,1239,506865
825,1242,509401
826,1249,511933
827,1252,514485
828,1257,517039
829,1264,519603
830,1266,522181
831,1274,524761
832,1277,527359
833,1282,529963
834,1287,532577
835,1292,535197
836,1298,537833
837,1303,540477
838,1307,543137
839,1313,545801
840,1317,548483
841,1325,551167
842,1328,553879
843,1335,556585
844,1338,559317
845,1344,562043
846,1351,564793
847,1355,567547
848,1361,570317
849,1365,573091
850,1370,575879
851,1377,578671
852,1382,581479
853,1386,584297
854,1393,587119
855,1395,589961
856,1404,592801
857,1408,595663
858,1413,598531
859,1419,601411
860,1423,604301
861,1430,607205
862,1436,610117
863,1440,613049
864,1447,615983
865,1451,618939
866,1459,621897
867,1463,624883
868,1470,627863
869,1474,630871
870,1480,633873
871,1487,636897
872,1491,639927
873,1498,642969
874,1502,646021
875,1508,649083
876,1515,652155
877,1520,655241
878,1525,658339
879,1532,661443
880,1535,664567
881,1544,667691
882,1548,670837
883,1554,673989
884,1560,677157
885,1565,680333
886,1572,683527
887,1579,686727
888,1583,689953
889,1591,693177
890,1595,696429
891,1603,699679
892,1608,702955
893,1614,706229
894,1620,709525
895,1625,712823
896,1633,716137
897,1637,719463
898,1645,722797
899,1649,726149
900,1656,729505
901,1663,732879
902,1668,736265
903,1674,739663
904,1681,743069
905,1685,746499
906,1694,749927
907,1698,753379
908,1705,756835
909,1712,760311
910,1717,763797
911,1725,767301
912,1732,770813
913,1736,774353
914,1745,777887
915,1749,781451
916,1757,785013
917,1763,788597
918,1768,792185
919,1776,795789
920,1781,799403
921,1789,803031
922,1794,806673
923,1802,810323
924,1807,813995
925,1814,817671
926,1821,821365
927,1827,825071
928,1833,828793
929,1841,832521
930,1845,836277
931,1855,840029
932,1859,843811
933,1867,847593
934,1875,851401
935,1880,855219
936,1888,859057
937,1895,862899
938,1900,866769
939,1909,870635
940,1914,874527
941,1921,878423
942,1929,882335
943,1933,886261
944,1943,890195
945,1948,894149
946,1956,898113
947,1962,902095
948,1969,906085
949,1976,910095
950,1983,914113
951,1990,918151
952,1997,922199
953,2003,926267
954,2012,930341
955,2017,934445
956,2027,938547
957,2032,942681
958,2040,946815
959,2048,950977
960,2054,955145
961,2062,959335
962,2069,963529
963,2075,967747
964,2084,971967
965,2090,976211
966,2097,980463
967,2106,984729
968,2110,989015
969,2121,993305
970,2126,997621
971,2134,1001945
972,2141,1006287
973,2148,1010639
974,2156,1015013
975,2164,1019395
976,2170,1023803
977,2179,1028215
978,2185,1032655
979,2195,1037099
980,2201,1041577
981,2210,1046053
982,2216,1050561
983,2224,1055067
984,2233,1059601
985,2239,1064143
986,2248,1068703
987,2254,1073275
988,2262,1077863
989,2271,1082463
990,2278,1087083
991,2285,1091717
992,2294,1096361
993,2299,1101029
994,2310,1105701
995,2316,1110399
996,2324,1115107
997,2332,1119835
998,2339,1124575
999,2348,1129337
1000,2357,1134109
